"GRID_TYPE","GAME_ID","GAME_EVENT_ID","PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_NAME","PERIOD","MINUTES_REMAINING","SECONDS_REMAINING","EVENT_TYPE","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","SHOT_ATTEMPTED_FLAG","SHOT_MADE_FLAG","GAME_DATE","HTM","VTM"
"Shot Chart Detail","0042400101","8","1629622","Max Strus","1610612739","Cleveland Cavaliers","1","11","43","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","142","229","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","13","1629639","Tyler Herro","1610612748","Miami Heat","1","10","42","Missed Shot","Pullup Jump shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","136","31","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","15","1628378","Donovan Mitchell","1610612739","Cleveland Cavaliers","1","10","31","Missed Shot","Step Back Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","110","228","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","17","1628386","Jarrett Allen","1610612739","Cleveland Cavaliers","1","10","26","Made Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-22","25","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","18","1628389","Bam Adebayo","1610612748","Miami Heat","1","10","7","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side(L)","8-16 ft.","10","-59","83","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","23","1628389","Bam Adebayo","1610612748","Miami Heat","1","9","43","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","Mid-Range","Center(C)","8-16 ft.","15","13","150","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","25","1628378","Donovan Mitchell","1610612739","Cleveland Cavaliers","1","9","31","Made Shot","Driving Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","1","9","10","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","26","202692","Alec Burks","1610612748","Miami Heat","1","9","9","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","28","88","276","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","28","1630596","Evan Mobley","1610612739","Cleveland Cavaliers","1","8","55","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","25","157","200","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","29","1629639","Tyler Herro","1610612748","Miami Heat","1","8","45","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-10","106","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","31","1628386","Jarrett Allen","1610612739","Cleveland Cavaliers","1","8","31","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-34","18","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","34","203952","Andrew Wiggins","1610612748","Miami Heat","1","8","7","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-164","223","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","36","1629636","Darius Garland","1610612739","Cleveland Cavaliers","1","7","51","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.","13","94","96","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","38","1628389","Bam Adebayo","1610612748","Miami Heat","1","7","39","Made Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","-64","115","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","40","1628386","Jarrett Allen","1610612739","Cleveland Cavaliers","1","7","20","Missed Shot","Hook Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-18","31","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","43","1629639","Tyler Herro","1610612748","Miami Heat","1","7","0","Made Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","27","170","216","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","45","1629636","Darius Garland","1610612739","Cleveland Cavaliers","1","6","46","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","11","82","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","47","1629639","Tyler Herro","1610612748","Miami Heat","1","6","30","Missed Shot","Step Back Jump shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.","18","-110","145","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","51","1628389","Bam Adebayo","1610612748","Miami Heat","1","6","15","Made Shot","Running Alley Oop Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","37","4","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","60","1629636","Darius Garland","1610612739","Cleveland Cavaliers","1","5","57","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","27","-192","198","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","66","203952","Andrew Wiggins","1610612748","Miami Heat","1","5","36","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","26","-181","199","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","67","1629636","Darius Garland","1610612739","Cleveland Cavaliers","1","5","21","Missed Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","12","256","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","69","1629631","De'Andre Hunter","1610612739","Cleveland Cavaliers","1","5","8","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","6","28","57","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","71","1628386","Jarrett Allen","1610612739","Cleveland Cavaliers","1","5","7","Missed Shot","Putback Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-24","13","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","81","1630558","Davion Mitchell","1610612748","Miami Heat","1","4","40","Missed Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","10","-17","107","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","83","203952","Andrew Wiggins","1610612748","Miami Heat","1","4","36","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center(LC)","24+ ft.","29","-135","265","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","85","1629636","Darius Garland","1610612739","Cleveland Cavaliers","1","4","14","Made Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-75","22","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","89","1629636","Darius Garland","1610612739","Cleveland Cavaliers","1","3","41","Missed Shot","Running Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","59","1","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","104","1630596","Evan Mobley","1610612739","Cleveland Cavaliers","1","3","19","Made Shot","Cutting Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-11","34","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","106","1630558","Davion Mitchell","1610612748","Miami Heat","1","3","7","Made Shot","Driving Layup Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","5","30","46","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","107","1628378","Donovan Mitchell","1610612739","Cleveland Cavaliers","1","2","56","Made Shot","Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","8","-36","73","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","112","1628389","Bam Adebayo","1610612748","Miami Heat","1","2","35","Missed Shot","Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.","26","146","227","1","0","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","114","1630596","Evan Mobley","1610612739","Cleveland Cavaliers","1","2","20","Made Shot","Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","2","-29","4","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","118","1628378","Donovan Mitchell","1610612739","Cleveland Cavaliers","1","2","4","Made Shot","Running Dunk Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.","3","-17","35","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","119","203952","Andrew Wiggins","1610612748","Miami Heat","1","1","44","Made Shot","Driving Floating Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.","7","-23","76","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","121","1629660","Ty Jerome","1610612739","Cleveland Cavaliers","1","1","36","Made Shot","Pullup Jump shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.","25","60","249","1","1","20250420","CLE","MIA"
"Shot Chart Detail","0042400101","122","1628389","Bam Adebayo","1610612748","Miami Heat","1","1","22","Missed Shot","Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","8-16 ft.","13","20","132","1","0","20250420","CLE","MIA"
